,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
123,123,,gary trent jr.,Tor,G-F,25.2,71,28.1,20.0,5.3,96,0.771,394,0.464,453,0.393,0.531,0.548,13.7,2.6,1.7,1.1,0.1,0.7,16.4,15.4,18.0,5.6,110.1,118.3,21.084577464788733,gary trent jr., MIL  ,9.0,0.007,0.0,1592.1,Front,Back
124,124,,saddiq bey,Atl,F,25.0,63,32.7,17.0,7.2,203,0.837,339,0.522,358,0.316,0.497,0.549,13.7,6.5,1.5,0.8,0.2,0.9,20.2,15.2,21.7,6.3,119.3,119.1,24.851761904761908,saddiq bey, WAS  ,9.5,0.0,0.0,1626.2,Front,Front
125,125,,jabari smith jr.,Hou,F,20.9,76,31.9,17.6,9.6,185,0.811,453,0.53,380,0.363,0.537,0.571,13.7,8.1,1.6,0.7,0.8,1.2,21.8,15.3,23.4,7.0,115.8,107.3,27.657302631578947,jabari smith jr., HOU  ,11.0,0.012,0.0,2214.7,Front,Front
126,126,,p.j. washington,Cha,F,25.6,44,29.2,21.2,11.5,94,0.713,265,0.558,244,0.324,0.524,0.545,13.6,5.3,2.2,0.9,0.7,1.5,18.9,15.8,21.1,7.4,106.2,113.7,24.994772727272725,p.j. washington, DAL  ,10.0,0.058,0.0,1940.7,Front,Front
127,127,,rui hachimura,Lal,F,26.2,68,26.8,18.4,6.4,134,0.739,443,0.598,232,0.422,0.61,0.629,13.6,4.3,1.2,0.6,0.4,0.7,17.9,14.8,19.1,6.2,121.6,113.1,21.827147058823527,rui hachimura, LAL  ,9.5,0.022,0.0,1549.3,Front,Front
128,128,,grayson allen,Pho,G,28.5,75,33.5,14.5,12.2,147,0.878,237,0.57,445,0.461,0.649,0.679,13.5,3.9,3.0,0.9,0.6,1.3,17.4,16.5,20.5,6.5,129.7,113.0,24.40908,grayson allen, PHX  ,9.5,0.019,0.0,1953.1,Front,Back
129,129,,naz reid,Min,C-F,24.6,81,24.2,23.1,11.5,150,0.74,443,0.535,408,0.414,0.576,0.595,13.5,5.2,1.3,0.8,0.9,1.4,18.7,14.8,20.0,7.4,110.9,102.2,23.668345679012347,naz reid, MIN  ,9.5,0.133,0.0,2055.6,Front,Front
130,130,,cameron johnson,Bro,F,28.1,58,27.6,19.6,8.4,109,0.789,266,0.519,353,0.391,0.557,0.582,13.4,4.3,2.4,0.8,0.3,1.0,17.7,15.8,20.1,7.5,118.1,113.0,23.342379310344832,cameron johnson, BKN  ,9.5,0.006,0.0,1419.2,Front,Front
131,131,,corey kispert,Was,F,25.1,80,25.8,19.6,11.0,157,0.726,314,0.643,480,0.383,0.602,0.62,13.4,2.8,2.0,0.5,0.2,1.2,16.2,15.3,18.1,6.5,114.0,118.6,19.926325,corey kispert, WAS  ,8.5,0.006,0.0,1647.0,Front,Front
132,132,,marvin bagley iii,Was,F,25.1,24,24.0,20.9,11.7,65,0.708,210,0.59,17,0.471,0.599,0.622,13.3,8.0,1.2,0.6,0.8,1.3,21.3,14.4,22.5,8.4,122.6,115.0,26.143375000000002,marvin bagley iii, WAS  ,9.5,0.001,0.0,1138.7,Front,Front
133,133,,andrew wiggins,Gol,F,29.1,71,27.0,20.9,10.0,189,0.751,526,0.498,254,0.358,0.511,0.544,13.2,4.5,1.7,0.6,0.6,1.2,17.7,14.9,19.4,6.9,111.1,112.0,22.370154929577463,andrew wiggins, GSW  ,9.5,0.013,0.0,1664.7,Front,Front
134,134,,keyonte george,Uta,G,20.4,75,27.0,22.8,18.7,223,0.848,375,0.459,440,0.334,0.482,0.533,13.0,2.8,4.4,0.5,0.1,2.5,15.8,17.4,20.2,8.0,104.6,121.0,21.649786666666667,keyonte george, UTA  ,9.0,0.024,0.0,1666.2,Back,Back
