,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
281,kevin knox ii,Front,5.5,5.1,16.6,109.1,114.0,0.546,24.7,11.626451612903226
282,johnny juzang,Front,5.5,5.4,14.5,119.7,118.3,0.609,23.1,11.065400000000002
283,evan fournier,Front,5.5,6.0,18.6,99.9,113.7,0.45,31.5,13.359655172413795
284,landry shamet,Front,5.5,5.6,18.8,107.6,114.8,0.527,27.1,11.175173913043478
285,james wiseman,Front,6.5,7.5,16.3,118.2,107.6,0.613,23.0,15.387999999999998
286,naji marshall,Front,6.0,7.7,16.3,114.4,108.0,0.542,26.2,15.03242424242424
287,jose alvarado,Back,6.0,7.1,17.3,112.3,106.7,0.525,26.0,15.102446428571431
288,richaun holmes,Front,5.0,6.3,14.8,123.5,108.3,0.563,30.5,16.840176470588233
289,danilo gallinari,Front,5.5,7.8,18.3,119.0,116.8,0.511,35.7,12.343384615384611
290,javon freeman-liberty,Front,4.5,7.5,17.4,107.3,115.2,0.484,24.5,13.796181818181818
291,tosan evbuomwan,Front,5.0,4.8,10.9,127.9,116.7,0.661,23.2,13.404307692307691
292,gary harris,Back,5.5,4.4,11.7,119.5,109.1,0.569,29.6,13.132907407407409
293,christian wood,Front,6.0,7.5,17.6,106.7,107.3,0.532,28.5,15.561639999999995
294,killian hayes,Front,6.5,7.6,15.1,106.4,114.7,0.452,22.7,19.193904761904765
295,bones hyland,Front,5.5,8.1,24.8,99.8,109.1,0.474,23.6,12.870621621621622
296,trendon watford,Front,5.5,8.9,21.1,114.8,105.3,0.571,23.4,12.928888888888888
297,aaron wiggins,Back,5.5,6.7,16.4,124.9,109.4,0.645,25.3,12.581166666666666
298,maozinha pereira,Front,4.5,5.1,15.7,116.2,106.3,0.586,23.6,15.969857142857144
299,cedi osman,Front,5.5,7.0,15.1,115.5,112.0,0.591,29.0,13.039291666666667
300,jonathan isaac,Front,7.5,6.3,16.7,123.7,104.4,0.584,26.5,16.228344827586206
301,robert williams iii,Front,8.0,6.6,13.2,120.7,101.1,0.654,26.5,19.195
302,day'ron sharpe,Front,7.5,10.4,19.7,118.7,100.8,0.578,22.4,17.685721311475408
303,julian champagnie,Front,5.0,6.0,14.4,110.9,115.4,0.534,22.8,13.874797297297292
304,cason wallace,Front,5.5,5.6,12.9,122.1,109.9,0.602,20.4,14.152658536585369
305,shake milton,Front,5.0,9.1,20.5,107.4,116.2,0.481,27.5,15.2015
306,spencer dinwiddie,Front,9.0,5.0,12.2,113.1,112.8,0.521,31.0,13.463357142857143
307,marcus morris sr.,Front,5.5,5.6,16.3,112.2,108.1,0.527,34.6,12.10827027027027
308,peyton watson,Front,6.0,6.2,16.2,107.8,106.9,0.515,21.6,14.64235
309,ochai agbaji,Back,5.0,5.2,15.4,94.6,115.2,0.432,24.0,14.113518518518518
310,jahmi'us ramsey,Front,5.0,6.6,17.8,101.6,111.5,0.512,22.9,13.088857142857142
311,dennis smith jr.,Front,7.5,8.7,17.7,110.1,105.9,0.482,26.4,17.069857142857142
